Código_CNO_2015,Grupos_Primarios
1330,Directores y gerentes de servicios de tecnología de la información y las comunicaciones
1341,Directores y gerentes de empresas que prestan servicios de cuidados infantiles
1342,Directores y gerentes de empresas que prestan servicios de salud
1343,Directores de servicios del cuidado del adulto mayor
1344,Directores de empresas que ofrecen servicios sociales
1345,Directores de servicios en centros de enseñanza y capacitación
1346,"Gerentes de sucursales de bancos, de servicios financieros y de seguros"
1411,Gerentes de hoteles y establecimientos similares que proveen servicios de alojamiento
1412,"Gerentes de restaurantes, bares y afines"
1421,Gerentes de abastecimiento y distribución
1422,Gerentes de comercios al por mayor y al por menor
1491,"Directores y gerentes de centros deportivos, de esparcimiento y entretenimientos"
1492,Directores y gerentes de centros culturales
1499,Otros gerentes de servicios
2111,Físicos y astrónomos
2112,Meteorólogos
2113,Químicos
2114,Geólogos y geofísicos
2120,"Matemáticos, actuarios y estadísticos"
2131,"Biólogos, botánicos, zoólogos y afines"
2132,Agrónomos y afines
2133,Profesionales de la protección medioambiental
2141,Ingenieros industriales y de producción
2142,Ingenieros civiles
2143,Ingenieros medioambientales
2144,Ingenieros mecánicos
2145,Ingenieros químicos
2146,"Ingenieros de minas, metalúrgicos y afines"
2149,Otros ingenieros
2151,Ingenieros electricistas
2152,Ingenieros electrónicos
2153,Ingenieros en telecomunicaciones
2161,Arquitectos
2162,Arquitectos paisajista
2163,Diseñadores de productos y de prendas
2164,Urbanistas e ingenieros de tránsito
2165,Cartógrafos y agrimensores
2166,Diseñadores gráficos y multimedia
2211,Médicos generales
2212,Médicos especialistas
2221,Profesionales de enfermería
2222,Profesionales de partería
2230,Profesionales de medicina tradicional y alternativa
2240,Veterinarios
2251,Dentistas
2252,Farmacéuticos
2253,Profesionales de la salud y la higiene laboral y ambiental
2254,Fisioterapeutas
2255,Dietistas y nutricionistas
2256,Audiólogos y logopedas
2257,Optometristas
2259,Otros profesionales de la salud
2311,Profesores de universidades y de la enseñanza superior
2312,Profesores de enseñanza superior técnico productivos
2320,Profesores de formación profesional
2330,Profesores de enseñanza secundaria
2341,Maestros de enseñanza primaria
2342,Maestros preescolares
2351,Especialistas en métodos pedagógicos
2352,Educadores para necesidades especiales
2353,Instructores en tecnología de la información
2359,Otros profesionales de la enseñanza
2411,Contadores
2412,Analistas y asesores financieros y de inversiones
2421,Analistas de gestión y organización
2422,Especialistas en políticas de administración
2423,Especialistas en políticas y servicios de personal y afines
2424,Especialistas en formación del personal
2431,Profesionales de la publicidad y la comercialización
2432,Profesionales de relaciones públicas
2433,"Profesionales en hotelería, turismo y gastronomía"
2511,Analistas de sistemas
2512,Especialistas programadores
2513,Especialistas de desarrollo de los sistemas de información
2514,Administradores de base de datos
2515,Administradores de red
2519,Otros analistas y desarrolladores de sistemas de información
2521,Especialistas en soporte de sistemas informáticos
2529,Otros especialistas en soporte técnico de sistemas informáticos
2611,Abogados
2619,Otros profesionales en derecho
2621,Archivistas y curadores de museos
2622,"Bibliotecarios, documentalistas y afines"
2631,Economistas
2632,"Sociólogos, antropólogos y afines"
2633,"Filósofos, historiadores y especialistas en ciencias políticas"
2634,Psicólogos
2635,Profesionales del trabajo social
2636,Profesionales religiosos
2641,Autores y otros escritores
2642,Periodistas
2643,"Traductores, intérpretes y lingüistas"
2651,Artistas de artes plásticas
2652,"Músicos, cantantes y compositores"
2653,Bailarines y coreógrafos
2654,"Directores de cine, de teatro y afines"
2655,Actores
2656,"Locutores de radio, televisión y otros medios de comunicación"
3111,Técnicos en ciencias físicas y químicas
3112,Técnicos en ingeniería civil
3113,Técnico en electricidad
3114,Técnicos en electrónica
3115,Técnicos en ingeniería mecánica
3116,Técnicos en química industrial
3117,Técnicos en ingeniería de minas y metalurgia
3118,Delineantes y dibujantes técnicos
3119,Otros técnicos en ciencias físicas y en ingeniería
3121,Supervisores en ingeniería de minas
3122,Supervisores de industrias manufactureras
3123,Supervisores de la construcción
3124,"Supervisores de abastecimiento, distribución y afines"
3125,Supervisores de transporte y servicios conexos
3126,Supervisores de servicios de tecnología de la información y las  comunicaciones
3129,"Otros supervisores en ingeniería de minas, de industrias manufactureras y de la construcción"
3131,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos"
3132,Supervisores en la preparación y servicios de alimentos y bebidas en establecimientos
3141,Operadores de instalaciones de producción de energía
3142,"Técnicos en instalaciones de incineración, de tratamiento de agua y otros operadores en planta similares"
3143,Controladores de instalaciones de procesamiento de productos químicos
3144,Operadores de instalaciones de refinación de petróleo y gas natural
3145,Controladores de procesos de producción de metales
3149,Otros técnicos en control de procesos
3151,Técnicos en ciencias biológicas (excluyendo la medicina)
3152,Técnicos agropecuarios
3153,Técnicos forestales
3161,Oficiales maquinistas en navegación
3162,"Capitanes, oficiales de cubierta y prácticos"
3163,Pilotos de aviación y afines
3164,Controladores de tráfico aéreo
3165,Técnicos en seguridad aeronáutica
3211,Técnicos en Radioterapia e imagenlogía
3212,Técnicos de laboratorios médicos
3213,Técnicos y asistentes farmacéuticos
3214,Técnicos de prótesis médicas y ortopédicas
3215,Técnicos de prótesis dentales
3221,Profesionales de nivel medio de enfermería
3222,Profesionales de nivel medio de partería
3230,Profesionales de nivel medio de medicina tradicional y alternativa
3240,Técnicos y asistentes veterinarios
3251,Técnicos superiores en higiene bucal  y asistentes dentales
3252,Técnicos en documentación sanitaria
3253,Trabajadores comunitarios de la salud
3254,Técnicos en optometría y ópticos
3255,Técnicos y asistentes fisioterapeutas
3256,Practicantes y asistentes médicos
3257,"Inspectores de la salud ocupacional, medioambiental y afines"
3258,Paramédicos
3259,Otros profesionales de nivel  medio de la salud
3311,"Agentes de bolsa, cambio y otros servicios financieros"
3312,Oficiales de préstamos y créditos
3313,Técnico en contabilidad
3314,Técnicos en administración
3315,Técnicos en servicios estadísticos y afines
3316,Tasadores
3317,Técnicos en economía
3321,Agentes de seguros
3322,Representantes comerciales
3323,Agentes de compras
3331,Declarantes o gestores de aduana
3332,Organizadores de conferencias y eventos
3333,Agentes de empleo y contratistas de mano de obra
3334,Agentes inmobiliarios
3339,Otros agentes de servicios comerciales
3341,Personal  de aduana e inspectores de fronteras
3342,Personal e inspectores de la administración tributaria
3343,Personal e inspectores de servicios de seguridad social
3344,Personal e inspectores de servicios de expedición de licencias y permisos
3349,Otro personal de nivel medio de la administración pública y afines
3411,"Profesionales de nivel medio del derecho, servicios legales y afines"
3412,Trabajadores y asistentes sociales de nivel medio
3413,Auxiliares laicos de las religiones
3421,Atletas y deportistas
3422,Entrenadores e instructores de actividades deportivas
3423,Jueces de actividades deportivas y recreativas
3431,Fotógrafos
3432,Diseñadores y decoradores
3433,"Técnicos en galerías de arte, museos y bibliotecas"
3434,Chefs
3439,Otros profesionales de nivel medio en actividades culturales y artísticas
3511,Técnicos en operaciones de tecnología de la información y las comunicaciones
3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones
3513,Técnicos en redes y sistemas de computadoras
3514,Técnicos de la Web
3521,Técnicos de radiodifusión y grabación audio visual
3522,Técnicos de ingeniería de las telecomunicaciones
3523,Locutores en radio y televisión
4110,Jefes de empleados administrativos
4120,Secretarios
4131,Empleados de registros
4132,Transcriptores de datos e información
4211,Cajeros de bancos y afines
4212,Empleados de ventas de apuestas y de salas de juego
4213,Empleados de casas de empeño y de préstamo
4214,Cobradores y afines
4221,Empleados de agencias de viajes
4222,Empleados de centros de llamadas
4223,Empleados de ventanillas de informes
4224,Recepcionistas
4225,Entrevistadores de encuestas y de investigaciones de mercados
4229,Otros empleados de servicios de información al cliente
4311,Empleados de contabilidad y cálculo de costos
4312,"Empleados de servicios estadísticos, financieros y de seguros"
4313,Empleados encargados de las nóminas
4321,Empleados de control de abastecimiento e inventario
4322,Empleados de servicios de apoyo a la producción
4323,Empleados de servicios de transporte
4411,Empleados de bibliotecas
4412,Empleados de servicios de correos
4413,"Codificadores de datos, correctores de pruebas de imprenta y afines"
4414,Escribientes públicos y afines
4415,Empleados de archivos
4416,Empleados del servicio de personal
4417,"Auxiliares en la administración, contabilidad, derecho y afines"
4419,Otro personal de apoyo administrativo
5111,"Auxiliares de vuelo, camareros de avión y barco"
5112,Revisores de los transportes terrestres
5113,Guías de turismo
5120,Cocineros
5131,Camareros de mesas
5132,Camareros de barra
5141,Peluqueros
5142,Especialistas en tratamientos de belleza y afines
5161,"Astrólogos, adivinadores y afines"
5162,Personal de pompas fúnebres y embalsamadores
5163,Cuidadores de animales
5164,Instructores de manejo de auto
5165,"Modelos de moda, arte y publicidad"
5169,Otros trabajadores de servicios personales
5211,Vendedores mayoristas
5212,Vendedores minoristas en tiendas y establecimientos (excepto kioscos y mercados)
5213,Vendedores en kiosco fijo y puestos de mercado
5221,Supervisores de comercio al por mayor
5222,Supervisores de comercio al por menor
5223,Asistentes de venta en tiendas y almacenes
5230,Cajeros y expendedores de billetes (excepto cajeros de banco)
5241,"Demostradores, degustadores y reponedores"
5242,Vendedores puerta a puerta
5243,Vendedores por teléfono
5244,Expendedores de gasolineras
5245,Vendedores de comidas en mostrador
5249,Otros vendedores
5311,Cuidadores de niños en instituciones
5312,Auxiliares de maestros
5321,Trabajadores en el cuidado de personas en instituciones
5322,Trabajadores en el cuidado de personas a domicilio
5329,Trabajadores en el cuidado de personas en servicios de salud
5411,Bomberos
5412,Policías municipales
5413,Guardianes de prisión
5414,Guardias de protección en establecimiento
5419,Otro personal de los servicios de protección
6111,Agricultores y trabajadores calificados de cultivos extensivos
6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos
6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines"
6114,"Agricultores y trabajadores calificados de cultivos mixtos (Agrícolas, pecuarios y forestales)"
6121,Criadores y trabajadores calificados de ganado
6122,Avicultores y trabajadores calificados de la avicultura
6123,Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura
6129,Otros criadores y trabajadores pecuarios calificados en la cría de animales para el mercado
6130,Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado
6210,Trabajadores forestales calificados y afines
6221,Trabajadores de explotaciones de acuicultura
6222,Pescadores de agua dulce y en aguas costeras
6223,Pescadores de alta mar
6224,Cazadores y tramperos
6310,Trabajadores agrícolas de subsistencia
6320,Trabajadores pecuarios de subsistencia
6330,Trabajadores agropecuarios de subsistencia
6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia"
7111,Albañiles y constructores de casas y grandes obras civiles
7112,"Mamposteros, tronzadores, labradores y grabadores de piedra"
7113,Carpinteros de armar y armados de casas
7119,Otros trabajadores de la construcción y edificaciones
7121,Techadores
7122,"Yeseros, escayolistas y otros revocadores de techos y paredes"
7123,"Instaladores de pisos, parquet, baldosas y azulejos"
7124,Instaladores de material aislante y de insonorización
7125,Instaladores de refrigeración y climatización
7126,Instaladores de vidrio y cristaleros
7127,Gasfiteros e instaladores de tuberías
7128,Pintores de brocha gorda
7129,Otros pintores excepto brocha gorda
7211,"Moldeadores, torneros y troqueladores"
7212,Soldadores y oxicortadores
7213,Hojalateros y pintores de metales
7214,Montadores de estructuras metálicas
7221,Herreros y forjadores
7222,Cerrajeros y Herramentistas
7223,Reguladores y operadores de máquinas de herramientas
7224,Pulidores de metales y afiladores de herramientas
7231,Mecánicos y reparadores de vehículos de motor
7232,Mecánicos y reparadores de motores de avión
7233,Mecánicos y reparadores de motores de barco
7234,Mecánicos y reparadores de máquinas agrícolas e industriales
7235,Reparadores de bicicletas y afines
7311,"Joyeros, orfebres y plateros"
7312,Alfareros y afines (barro arcilla y ladrillo)
7313,"Artesanos de productos de palma, carrizo, mimbre, junco y afines."
7321,Trabajadores en el tratamiento de la madera
7322,Ebanistas y afines
7331,Trabajadores en la elaboración artesanal de papel y cartón
7332,"Impresores, tipógrafos y Linotipistas"
7333,Encuadernadores y afines
7334,Reveladores de fotografías
7341,Trabajadores en la preparación de fibras textiles e hilados
7342,Tejedores de fibras textiles
7351,Tejedores a mano en telares
7352,"Sastres, modistos, costureros y sombrereros"
7353,Patronistas y cortadores de tela y afines
7354,"Bordadores, reparadores y ayudantes de costura"
7355,"Tapiceros, colchoneros y afines"
7356,Estampadores textiles
7361,"Apelambradores, pellejeros, curtidores y teñidores de cuero"
7362,Zapateros y afines
7391,"Trabajadores especializados en la elaboración de productos de hule, caucho, plásticos y afines"
7392,"Artesanos y trabajadores en la elaboración de productos de vidrio, hueso, conchas y afines"
7399,"Otros Artesanos y trabajadores en la elaboración de productos de madera, papel, textiles cuero y piel"
7411,Electricistas y afines
7412,Instaladores y reparadores de líneas eléctricas
7421,Reparadores de equipos electrónicos y afines
7422,Instaladores y reparadores en tecnología de la información y las comunicaciones
7431,Mecánicos y reparadores de instrumentos de precisión
7432, Fabricantes y afinadores de instrumentos musicales
7511,"Trabajadores en la elaboración de productos de carne, pescados y afines"
7512,Trabajadores en la elaboración de harinas (excepto harina de pescado)
7513,"Panaderos, pasteleros y confiteros"
7514,Trabajadores en la elaboración de productos lácteos.
7515,"Trabajadores en la elaboración y conservación de productos elaborados a base de frutas, legumbres, verduras y afines."
7516,Catadores y clasificadores de alimentos y bebidas
7517,Preparadores y elaboradores de tabaco y sus derivados
7518,Trabajadores de la preparación de bebidas alcohólicas y refrescos
7519,"Otros trabajadores de la preparación de alimentos, bebidas y productos de tabaco"
8111,Mineros y operadores de instalaciones mineras
8112,Operadores de instalaciones de procesamiento de minerales y rocas
8113,"Perforadores y sondistas de pozos de petróleo y gas, bombeo y distribución de agua"
8114,Operadores de máquinas para fabricar cemento y otros productos minerales
8121,Operadores de instalaciones de procesamiento de metales
8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales"
8131,Operadores de plantas y máquinas de productos químicos
8132,Operadores de máquinas para fabricar productos fotográficos
8133,Operadores de máquinas para el tratamiento de agua
8134,Operadores de máquinas para la perforación de pozos y refinación del petróleo y gas
8141,Operadores de máquinas para fabricar productos de caucho
8142,Operadores de máquinas para fabricar productos de material plástico
8151,"Operadores de máquinas de preparación de fibras, hilado y devanado"
8152,Operadores de telares y otras máquinas tejedoras
8153,Operadores de máquinas de coser (industrial)
8154,"Operadores de máquinas de lavado, blanqueamiento, teñido, estampado y acabado de productos textiles"
8155,Operadores de máquinas de tratamiento de pieles y cueros
8156,Operadores de máquinas para la fabricación de calzado y afines
8159,Otros operadores de máquinas para fabricar productos textiles y artículos de piel y cuero
8160,"Operadores de máquinas para elaborar alimentos, bebidas y productos afines"
8171,Operadores de máquinas de procesamiento de la madera
8172,"Operadores de máquinas para la preparación de pasta para papel, papel y similares"
8173,Operadores de máquinas para fabricar productos de papel
8181,Operadores de máquinas para fabricar vidrio y cerámica
8182,Operadores de máquinas de vapor y calderas
8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado"
8189,Otros Operadores de máquinas y de instalaciones fijas
8211,Ensambladores de máquinas de motor
8212,Ensambladores de equipos eléctricos y electrónicos
8219,Otros ensambladores
8311,Maquinistas de locomotoras
8312,"Guardafrenos, guardagujas y agentes de maniobras"
8321,"Conductores de motocicletas, Mototaxi"
8322,"Conductores de automóviles, taxis y camionetas"
8331,Conductores de autobuses y tranvías COMBI
8332,Conductores de camiones pesados
8341,Operadores de maquinaria agrícola y forestal móvil
8342,Operadores de máquinas de movimiento de tierras y afines
8343,"Operadores de grúas, aparatos elevadores y afines"
8351,Marineros de cubierta y afines
8352,Conductores de pequeñas embarcaciones
9111,Limpiadores y asistentes domésticos
9112,"Limpiadores y asistentes de oficinas, hoteles y otros establecimientos"
9121,Lavanderos y planchadores manuales
9122,Lavadores de vehículos
9123,Limpiadores de ventanas
9124,Limpiadores ambulantes de calzado
9129,Otro personal de limpieza
9211,Peones de explotaciones agrícolas y ganaderas
9212,Peones de jardinería y horticultura
9213,Peones de pesca y acuicultura
9214,Peones forestales
9311,Peones de minas y canteras
9312,Peones de obras públicas y mantenimiento
9313,Peones de la construcción de edificios
9321,Trabajadores manuales de la industria manufacturera
9329,Otros peones de la industria manufacturera
9331,Conductores de vehículos accionados a pedal o a mano
9332,Conductores de vehículos y máquinas de tracción animal
9333,Peones de carga
9334,Cobradores de los transportes públicos
9411,Cocineros de comidas preparadas en la calle
9412,Ayudantes de cocina
9511,Vendedor ambulante de productos alimenticios manufacturados
9512,Vendedor ambulante de bebidas
9521,Vendedores ambulantes de productos agrícolas comestibles
9522,Vendedores ambulantes de productos agrícolas no utilizados en la alimentación humana
9523,Vendedores ambulantes de productos de la pesca y caza
9524,Vendedores ambulantes de animales vivos y productos pecuarios
9531,Vendedor ambulante de productos farmacéuticos y plantas medicinales
9532,Vendedor ambulante de tabaco y artículos conexos
9533,Vendedor ambulante de productos de tocador e higiene del hogar
9534,Vendedor ambulante de combustibles y lubricantes
9535,"Vendedor ambulante de telas, tejidos y confecciones de tela y/o cuero"
9536,"Vendedor ambulante de diarios, revistas, libros y útiles de escritorios"
9537,Vendedor ambulante de artículos deportivos y juguetes
9541,Vendedor ambulante de aparatos o artículos para el hogar
9542,Vendedor ambulante de artículos artísticos y de lujo
9549,Otros vendedores ambulantes de aparatos o artículos para el hogar
9611,Recolectores de basura
9612,Clasificadores de material reciclable
9613,Barrenderos y afines
9621,"Mensajeros, mandaderos, maleteros y repartidores de mercadería"
9622,"Porteros, guardianes y afines"
9623,Recolectores de dinero en aparatos de venta automática y lectores de medidores
9624,Acarreadores de agua y recolectores de leña
9629,Otras ocupaciones elementales
